,Solven_Epsilon,Surface_tension,eg,esp,preorg_energy,C(NaNO3),C(HNO3),C(NaClO4),C(lig),lg(SF),smiles
0,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.0001,0.0,0.1,4.8600000239347745,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
1,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.0003,0.0,0.1,4.039999922311351,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
2,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.001,0.0,0.1,5.010000003276115,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
3,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.0032,0.0,0.1,5.239999992815233,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
4,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.01,0.0,0.1,4.6299999808583685,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
5,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.0316,0.0,0.1,3.619999600500459,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
6,25.0,30.6,2.26335,-0.9980446,3.7124619250628,1,0.1,0.0,0.1,1.7000110623221123,C1C=CC=C(P(S)(=S)C2C(C(F)(F)F)=CC=CC=2)C=1C(F)(F)F
7,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.0001,0.0,0.1,0.36921585741014284,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
8,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.0003,0.0,0.1,0.36921585741014284,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
9,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.001,0.0,0.1,0.3996737214810381,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
10,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.0032,0.0,0.1,0.41995574848975786,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
11,25.0,30.6,2.3015,-0.5761433,3.3659146850845016,1,0.01,0.0,0.1,0.42975228000240795,C1(C(F)(F)F)C=C(C(F)(F)F)C=C(P(=S)(S)C2C=C(C(F)(F)F)C=C(C(F)(F)F)C=2)C=1
